created_at,entry_id,RSSI,row1,row2,row3
2018-08-28 15:12:38 UTC,1715,-49,111111110000000000000000,101122220101010000000000,222200001100000000000000
2018-08-28 15:13:14 UTC,1716,-50,111111110000000000000000,222222220101010000000000,222200001100000000000000
2018-08-28 15:13:53 UTC,1717,-50,111111110000000000000000,222222220101010000000000,222200001100000000000000
2018-08-28 15:14:30 UTC,1718,-51,111111110010000000000000,101122220101010000000000,222200011100000000000000
2018-08-28 15:15:05 UTC,1719,-50,111111110010000000000000,101122220101010000000000,222200011100000000000000
2018-08-28 15:15:39 UTC,1720,-49,111011110000000000000000,222222220101010000000000,222200001100000000000000
2018-08-28 15:16:22 UTC,1721,-52,111011110000000000000000,101122220101010000000000,222200011100000000000000
2018-08-28 15:17:27 UTC,1722,-50,111011110000000000000000,101122220101010000000000,222200001100000000000000
2018-08-28 15:18:05 UTC,1723,-50,111011110000000000000000,222222220111010000000000,222200001100000000000000
2018-08-28 15:18:39 UTC,1724,-51,111011110010000000000000,101122220101010000000000,222200001100000000000000
2018-08-28 15:19:15 UTC,1725,-52,111011110000000000000000,101122220101010000000000,222200011100000000000000
2018-08-28 15:19:53 UTC,1726,-52,111011110010000000000000,222222220101010000000000,222200011100000000000000
2018-08-28 15:20:31 UTC,1727,-52,111011110000000000000000,222222220101010000000000,222200011100000000000000
2018-08-28 15:21:05 UTC,1728,-51,111011110000000000000000,222222220101010000000000,222200011100000000000000
2018-08-28 15:21:40 UTC,1729,-54,111011110000000000000000,222222220101010000000000,222200001100000000000000
2018-08-28 15:22:24 UTC,1730,-50,111011110000000000000000,1022220101010100000000,222200001100000000000000
2018-08-28 15:23:28 UTC,1731,-51,111011110000000000000000,1022220101010100000000,222200001100000000000000
2018-08-28 15:24:04 UTC,1732,-50,111011110000000000000000,222222220101010000000000,222200001100000000000000
2018-08-28 15:24:40 UTC,1733,-49,111011110010000000000000,1022220101010100000000,222200001100000000000000
2018-08-28 15:25:16 UTC,1734,-50,111011010010000000000000,1022220101010100000000,222200001100000000000000
2018-08-28 15:25:52 UTC,1735,-50,111010110010000000000000,222222220101010000000000,222200001100000000000000
2018-08-28 15:26:30 UTC,1736,-50,111010110010000000000000,222222220101010000000000,222200001100000000000000
2018-08-28 15:27:04 UTC,1737,-50,111010110010000000000000,222222220101010000000000,222200001100000000000000
2018-08-28 15:27:40 UTC,1738,-49,111010110010000000000000,222222220101010000000000,222200001100000000000000
2018-08-28 15:28:28 UTC,1739,-52,111010110000000000000000,222222220101010000000000,222200001100000000000000
2018-08-28 15:29:29 UTC,1740,-49,111010110000000000000000,222222220101010000000000,222200001100000000000000
2018-08-28 15:30:05 UTC,1741,-49,111010110000000000000000,1022220101010100000000,222200001100000000000000
2018-08-28 15:30:48 UTC,1742,-52,101010110000000000000000,1022220101010100000000,222200001100000000000000
2018-08-28 15:31:53 UTC,1743,-50,111010110000000000000000,222222220101010000000000,222200001100000000000000
2018-08-28 15:33:07 UTC,1744,-49,111010110000000000000000,1022220101010100000000,222200001100000000000000
2018-08-28 15:33:41 UTC,1745,-48,111010110000000000000000,1022220101010110000000,222200001100000000000000
2018-08-28 15:34:17 UTC,1746,-49,111010110000000000000000,1022220101010110000000,222200001100000000000000
2018-08-28 15:35:01 UTC,1747,-51,111010110000000000000000,1022220101010100000000,222200001100000000000000
2018-08-28 15:36:06 UTC,1748,-51,111010110000000000000000,1022220101010100000000,222200001100000000000000
2018-08-28 15:36:42 UTC,1749,-49,111010110000000000000000,1022220101010100000000,222200001100000000000000
2018-08-28 15:37:18 UTC,1750,-51,111010110000000000000000,1022220101010100000000,222200001100000000000000
2018-08-28 15:37:55 UTC,1751,-50,111010110000000000000000,1022220101010100000000,222200001100000000000000
2018-08-28 15:38:34 UTC,1752,-51,111010110000000000000000,1022220101010100000000,222200001100000000000000
2018-08-28 15:39:07 UTC,1753,-51,111010110000000000000000,1022220101010110000000,222200001100000000000000
2018-08-28 15:39:42 UTC,1754,-49,111010110000000000000000,1022220101010100000000,222200001100000000000000
2018-08-28 15:40:22 UTC,1755,-53,111010110000000000000000,222222220101010000000000,222200000100000000000000
2018-08-28 15:40:54 UTC,1756,-51,111010110000000000000000,222222220101010000000000,222200000100000000000000
2018-08-28 15:41:30 UTC,1757,-50,111010110000000000000000,1022220101010110000000,222200000100000000000000
2018-08-28 15:42:06 UTC,1758,-51,111010110000000000000000,1022220101010100000000,222200000100000000000000
2018-08-28 15:42:42 UTC,1759,-50,111010010000000000000000,222222220101010000000000,222200000100000000000000
2018-08-28 15:43:18 UTC,1760,-49,111010110000000000000000,1022220101010100000000,222200000100000000000000
2018-08-28 15:43:56 UTC,1761,-50,111010110000000000000000,1022220101010110000000,222200000100000000000000
2018-08-28 15:44:30 UTC,1762,-51,111010110000000000000000,1022220101010100000000,222200000100000000000000
2018-08-28 15:45:08 UTC,1763,-52,111010110000000000000000,1022220101010100000000,222200000100000000000000
2018-08-28 15:45:42 UTC,1764,-50,111010110000000000000000,1022220101010100000000,222200000100000000000000
2018-08-28 15:46:19 UTC,1765,-53,111010110000000000000000,1022220101010100000000,222200000100000000000000
2018-08-28 15:47:31 UTC,1766,-51,111010110000000000000000,222222220101010000000000,222200000100000000000000
2018-08-28 15:48:14 UTC,1767,-50,101010110000000000000000,1022220101010100000000,222200000100000000000000
2018-08-28 15:49:55 UTC,1768,-50,111010110000000000000000,1022220101010100000000,222200000100000000000000
2018-08-28 15:50:31 UTC,1769,-50,111010110000000000000000,1022220101010100000000,222200000100000000000000
2018-08-28 15:51:09 UTC,1770,-50,111010110000000000000000,1022220101010100000000,222200000100000000000000
2018-08-28 15:51:52 UTC,1771,-51,111010110000000000000000,1022220101010100000000,222200000100000000000000
2018-08-28 15:52:55 UTC,1772,-50,111010110000000000000000,1022220101010100000000,222200000100000000000000
2018-08-28 15:53:31 UTC,1773,-50,111000110000000000000000,1022220101010100000000,222200000100000000000000
2018-08-28 15:54:09 UTC,1774,-51,111000110000000000000000,1022220101010100000000,222200000100000000000000
2018-08-28 15:54:43 UTC,1775,-49,111000110000000000000000,222222220101010000000000,222200000100000000000000
2018-08-28 15:55:19 UTC,1776,-49,111000110000000000000000,1022220101010100000000,222200000100000000000000
2018-08-28 15:55:57 UTC,1777,-50,111000110000000000000000,1022220101010100000000,222200000100000000000000
2018-08-28 15:56:42 UTC,1778,-51,101000110000000000000000,1022220101010100000000,222200000100000000000000
2018-08-28 15:57:43 UTC,1779,-49,111000110001000000000000,1022220101010100000000,222200000100000000000000
2018-08-28 15:58:20 UTC,1780,-49,111000110000000000000000,222222220101000000000000,222200000100000000000000
2018-08-28 15:58:57 UTC,1781,-50,111000110000000000000000,222222220101000000000000,222200000100000000000000
2018-08-28 15:59:34 UTC,1782,-52,111000110000000000000000,222222220101000000000000,222200000100000000000000
2018-08-28 16:00:12 UTC,1783,-52,111000110000000000000000,222222220101000000000000,222200000100000000000000
2018-08-28 16:00:45 UTC,1784,-51,111000110000000000000000,222222220101000000000000,222200000100000000000000
2018-08-28 16:01:20 UTC,1785,-51,111000110000000000000000,222222220101000000000000,222200000100000000000000
2018-08-28 16:02:39 UTC,1786,-51,101000110000000000000000,222222220101000000000000,222200000100000000000000
2018-08-28 16:03:44 UTC,1787,-51,111000110000000000000000,222222220101000000000000,222200000100000000000000
2018-08-28 16:04:20 UTC,1788,-50,111000110000000000000000,222222220101000000000000,222200000100000000000000
2018-08-28 16:04:56 UTC,1789,-51,111000110000000000000000,222222220101000000000000,222200000100000000000000
2018-08-28 16:05:34 UTC,1790,-51,111000110000000000000000,222222220101000000000000,222200000100000000000000
2018-08-28 16:06:08 UTC,1791,-51,111000110000000000000000,222222220101000000000000,222200000100000000000000
2018-08-28 16:06:46 UTC,1792,-50,111000110000000000000000,222222220101000000000000,222200000100000000000000
2018-08-28 16:07:20 UTC,1793,-50,101000110000000000000000,222222220101000000000000,222200000100000000000000
2018-08-28 16:07:56 UTC,1794,-49,101000110000000000000000,222222220101000000000000,222200000100000000000000
2018-08-28 16:08:40 UTC,1795,-51,101000110000000000000000,222222220101000000000000,222200000100000000000000
2018-08-28 16:09:45 UTC,1796,-50,101000010000000000000000,222222220100000000000000,222200000100000000000000
2018-08-28 16:10:21 UTC,1797,-50,111000110000000000000000,222222220100000000000000,222200000100000000000000
2018-08-28 16:10:59 UTC,1798,-52,111000110000000000000000,222222220100000000000000,222200000100000000000000
2018-08-28 16:11:33 UTC,1799,-51,111000110000000000000000,1022220100000110000000,222200000100000000000000
2018-08-28 16:12:54 UTC,1800,-50,111000110000000000000000,222222220100000000000000,222200000100000000000000
2018-08-28 16:13:57 UTC,1801,-50,111000110000000000000000,222222220100000000000000,222200000100000000000000
2018-08-28 16:14:33 UTC,1802,-49,111000110000000000000000,222222220100000000000000,222200000100000000000000
2018-08-28 16:15:09 UTC,1803,-48,111000110000000000000000,222222220100000000000000,222200000100000000000000
2018-08-28 16:15:45 UTC,1804,-50,111000110000000000000000,222222220100000000000000,222200000100000000000000
2018-08-28 16:16:23 UTC,1805,-51,111000110000000000000000,222222220100000000000000,222200000100000000000000
2018-08-28 16:16:57 UTC,1806,-51,111000110000000000000000,222222220100000000000000,222200000100000000000000
2018-08-28 16:17:33 UTC,1807,-50,111000110000000000000000,222222220100000000000000,222200000100000000000000
2018-08-28 16:18:18 UTC,1808,-54,111000110000000000000000,1022220100000100000000,222200000100000000000000
2018-08-28 16:19:21 UTC,1809,-53,111000110000000000000000,1022220100000100000000,222200000100000000000000
2018-08-28 16:19:59 UTC,1810,-52,111000111000000000000000,1022220110000100000000,222200000100000000000000
2018-08-28 16:20:33 UTC,1811,-51,111000110000000000000000,1022220100000100000000,222200000100000000000000
2018-08-28 16:21:09 UTC,1812,-51,101010011001001000000000,1022220100000100000000,222200000100000000000000
2018-08-28 16:22:02 UTC,1813,-54,101010011000000000000000,222222221000000000000000,222201100100001000000000
2018-08-28 16:22:40 UTC,1814,-63,101010011011001000000000,1022220100001100000000,222201000001011000000000
